track_title,artist_name,track_id,duration_ms,energy,key,mode,time_signature,acousticness,danceability,instrumentalness,liveness,loudness,speechiness,valence,tempo,On_chart
Christmas Dream,Perry Como,1PrhnQxWAVYikCHcieRQiy,169160,0.287,10,1,4,0.672,0.514,4.41e-06,0.0677,-13.970999999999998,0.0352,0.8340000000000001,184.356,1
Ms. Grace,The Tymes,1LPCESFhMbgMaQjRG5dm9P,206360,0.772,2,1,4,0.41,0.484,0.0,0.14800000000000002,-7.667999999999998,0.0782,0.667,116.858,1
Lonely People,America,5coTcHT7K8O3G97y9T4LOU,150227,0.473,7,1,4,0.261,0.557,3.950000000000001e-05,0.0658,-9.294,0.0262,0.56,79.368,1
Sweet Surrender,John Denver,7be37I5s79jQKQCWovxUpL,329360,0.444,9,1,4,0.843,0.192,0.00866,0.163,-10.642,0.0338,0.613,172.46599999999995,1
As Long As He Takes Care Of Home,Candi Staton,27fNasCrjuT7ZpBrZOhSg4,201000,0.583,9,1,4,0.28,0.7979999999999999,0.00015800000000000002,0.0641,-11.257,0.0481,0.964,118.157,1
Heartbreak Road,Bill Withers,2Ln4fno71kJLPZfy1XZoj1,189147,0.397,0,1,4,0.132,0.825,0.0334,0.0972,-10.63,0.0317,0.945,85.571,1
Crazy Talk,Chilliwack,08IdYV9hZ4YkXaqqf4PGl0,187200,0.435,9,0,4,0.365,0.8540000000000001,0.000385,0.096,-7.454,0.0335,0.941,102.945,1
Nightingale,Carole King,2RHjNgxFQMTrCLacGKEJwE,216067,0.542,2,1,4,0.0757,0.622,1.02e-06,0.0623,-12.554,0.0292,0.877,126.133,1
Midnight Sky ,The Isley Brothers,7xeo4YFZArhtIzByzzGy5E,416240,0.7190000000000001,9,1,4,0.0105,0.556,0.474,0.452,-11.375,0.0439,0.908,126.307,1
Rhyme Tyme People,Kool & The Gang,0lELJfTnuIVXT3XptuefRY,203733,0.687,9,1,4,0.514,0.703,0.705,0.364,-10.505999999999998,0.0665,0.802,110.034,1
Don't Take Your Love,The Manhattans,4p2LPT44BQLxdrI2iXmZNQ,211907,0.701,2,1,4,0.477,0.593,0.0,0.108,-5.5870000000000015,0.032,0.659,141.905,1
Love Don't You Go Through No Changes On Me,Sister Sledge,1zjjycn93jLHoPkuWk4TEL,204440,0.6859999999999999,11,0,4,0.0159,0.6729999999999999,0.000231,0.14300000000000002,-9.103,0.0628,0.338,117.847,1
"What A Man, My Man Is",Lynn Anderson,10eijOdxB5qiNFp0uMWBxj,134733,0.6829999999999999,0,1,4,0.14,0.595,3.64e-06,0.044,-9.805,0.0323,0.925,159.81799999999996,1
Poetry Man,Phoebe Snow,5uhULfoDgTvz7BeWlqrV4a,278800,0.242,7,1,4,0.41,0.511,0.0,0.111,-15.735,0.0318,0.596,131.82,1
Let Me Start Tonite,Lamont Dozier,2gO8oB0iRASgHstU5S6SLF,222325,0.674,11,1,4,0.0971,0.443,0.329,0.0867,-8.533999999999999,0.0401,0.763,129.246,1
Lady Marmalade,Labelle,3GGcwG519BTMdvMeFy7meT,235267,0.654,2,0,4,0.551,0.5710000000000001,0.0,0.0599,-11.034,0.0501,0.947,117.955,1
Up In A Puff Of Smoke,Polly Brown,3PeiH20utGblIO1Bv82tmo,210040,0.542,5,1,4,0.318,0.547,0.0,0.15,-11.371,0.0363,0.426,134.409,1
Ding Dong; Ding Dong,George Harrison,1oHUTvX9DXN2w1FziZMM6V,220760,0.7390000000000001,11,1,4,0.202,0.626,0.0008849999999999998,0.215,-9.443,0.0303,0.883,120.664,1
Sad Sweet Dreamer,Sweet Sensation,5lTaFNveBuwUhyYmwGtWRi,192867,0.604,2,1,4,0.191,0.5329999999999999,0.0,0.203,-10.479,0.0387,0.447,101.962,1
"Shame, Shame, Shame",Shirley And Company,2RvoIv22fdI9Uhife5zdDl,245787,0.7440000000000001,7,1,4,0.254,0.7340000000000001,0.0333,0.15,-8.085,0.159,0.77,101.609,1
I Won't Last A Day Without You/Let Me Be The One,Al Wilson,35UZMRJxRT9bIpRiGKkj59,352746,0.467,11,1,4,0.762,0.348,3.98e-05,0.35700000000000004,-12.107,0.0376,0.409,132.345,1
Roll On Down The Highway,Bachman-Turner Overdrive,05mzctclS0ZqqTLEiDIGkt,237800,0.823,7,1,4,0.00333,0.475,0.00839,0.311,-11.994000000000002,0.029,0.8809999999999999,138.981,1
Movin' On,Bad Company,2xmQ5QZ7hYl1QqJlqNLFdA,201547,0.818,0,1,4,0.528,0.636,0.0938,0.162,-8.939,0.0354,0.908,117.618,1
Lovin' You,Minnie Riperton,4twhYPDyCP6ICeW3TtQVxP,203507,0.213,9,1,3,0.903,0.392,1.01e-06,0.12,-12.494000000000002,0.0415,0.312,100.518,1
I Am Love ,Jackson 5,5qX9m9p4ON9ca069Iuusmd,447000,0.894,7,0,4,0.0328,0.433,0.0134,0.114,-7.7639999999999985,0.14,0.303,118.829,1
Star On A TV Show,The Stylistics,2vUrR108jJd0yEIUsU7cv9,252680,0.414,10,1,4,0.5539999999999999,0.507,4.27e-06,0.245,-10.338,0.0243,0.546,91.527,1
Hot Dawgit,"Ramsey Lewis And Earth, Wind & Fire",0z8Og8ut8fhAY9bvwnwEcw,182293,0.7559999999999999,9,1,4,0.501,0.7829999999999999,0.0151,0.0658,-5.2810000000000015,0.0551,0.91,108.574,1
Never Let Her Go,David Gates,2jHa1UWWuouaoFqE8I7W77,188813,0.399,8,1,4,0.233,0.5760000000000001,2.22e-05,0.104,-14.764,0.0251,0.621,84.04899999999998,1
Have You Never Been Mellow,Olivia Newton-John,5ehVOC0zSdwWqyZlhomJSi,213533,0.324,0,1,4,0.5660000000000001,0.542,2.27e-06,0.0876,-14.07,0.0329,0.421,121.802,1
My Boy,Elvis Presley,4baNC6PNq37xOVRqoZcNY5,198853,0.534,11,0,4,0.586,0.387,0.00084,0.607,-11.809,0.0331,0.3720000000000001,92.475,1
Express,B.T. Express,7aUA2QLuPtuaBgnxLSAbnZ,308013,0.6759999999999999,0,1,4,0.000113,0.664,0.0989,0.0731,-11.276,0.0347,0.532,108.158,1
If Loving You Is Wrong I Don't Want To Be Right,Millie Jackson,0QCuRwtTSl14TVIEj23Udy,235877,0.397,4,0,4,0.0507,0.508,0.0,0.134,-13.727,0.056,0.336,131.664,1
I Get Lifted,George McCrae,2etJWHy2CP4NAwzunGwass,163027,0.527,5,1,4,0.5670000000000001,0.762,0.0834,0.111,-11.885,0.0313,0.953,100.088,1
We May Never Love Like This Again,Maureen McGovern,4k8AOuix44BSULHnrnAnEq,130480,0.539,2,1,4,0.406,0.334,0.0,0.429,-9.019,0.0324,0.37,75.092,1
Devil In The Bottle,T.G. Sheppard,0al5WNmIASd3qMK50tiwTi,167547,0.41,7,1,4,0.6459999999999999,0.43,1.58e-05,0.0975,-10.349,0.0305,0.3670000000000001,134.78799999999998,1
Chico And The Man,José Feliciano,72uOvpWFCX6u7GyjP2SVGq,182520,0.7020000000000001,2,1,4,0.364,0.654,1.3800000000000003e-05,0.108,-10.862,0.0898,0.715,93.775,1
I've Been This Way Before,Neil Diamond,2FY17MjqAAW9KbQwWWl18o,224027,0.481,9,1,3,0.7240000000000001,0.335,0.315,0.0926,-6.127999999999999,0.0303,0.221,108.19,1
Chevy Van,Sammy Johns,31S6oGx81hVIjWz6cu5oNw,179000,0.547,9,1,4,0.457,0.449,0.0,0.0737,-12.259,0.0351,0.74,152.211,1
Wolf Creek Pass,C.W. McCall,74sHkHnsPChaelwMtdLxtF,240107,0.44,0,1,4,0.845,0.605,3.85e-05,0.108,-16.641,0.23,0.6729999999999999,125.176,1
My Elusive Dreams,Charlie Rich,3WziO3x5pQRrwgs3SbrayN,216533,0.426,6,1,4,0.629,0.574,1.26e-05,0.16399999999999998,-10.751,0.025,0.47,77.446,1
Part Of The Plan,Dan Fogelberg,3dwSjp4LuPQfQeO0UZLsfB,198133,0.732,2,1,4,0.506,0.65,4.68e-06,0.0601,-14.004,0.0356,0.838,144.47299999999996,1
Butter Boy,Fanny,40IuvnynqaBdmmR0o0JOqm,206253,0.636,10,1,4,0.261,0.652,9.43e-05,0.08900000000000001,-8.75,0.0529,0.413,131.041,1
"Good Times, Rock & Roll",Flash Cadillac And The Continental Kids,3u8LC5s7uQNWrGkUz1WqDL,170760,0.847,7,1,4,0.13699999999999998,0.584,1.7800000000000002e-05,0.184,-10.531,0.0369,0.974,154.512,1
Before The Next Teardrop Falls,Freddy Fender,3awuorsQsio2PUOvzq3hpd,156874,0.345,10,1,4,0.748,0.799,2.39e-05,0.16899999999999998,-11.52,0.0276,0.7759999999999999,90.417,1
 Another Somebody Done Somebody Wrong Song,B.J. Thomas,0b7qiL1rLbUUpGXczt7p5T,206067,0.528,4,1,4,0.7440000000000001,0.637,0.0,0.114,-11.287,0.0328,0.7020000000000001,124.806,1
Emotion,Helen Reddy,1TnnjvnBfkrde7CLWdKmKx,174667,0.491,10,1,4,0.529,0.4920000000000001,0.00442,0.317,-11.746,0.0301,0.6659999999999999,131.709,1
The South's Gonna Do It,The Charlie Daniels Band,7HRqpMkcCVVhmKme8bScvl,237427,0.7120000000000001,9,1,4,0.519,0.452,1.55e-06,0.189,-9.69,0.0556,0.8440000000000001,164.132,1
Changes,Loggins & Messina,09Mc2hdXjaudHADkiJ3ooI,229973,0.616,11,0,4,0.209,0.532,0.747,0.172,-13.753,0.0303,0.728,108.807,1
Walking In Rhythm,The Blackbyrds,2U2QZzgqA8qGWFMV6v39s7,251867,0.601,5,1,4,0.017,0.6809999999999999,6.11e-06,0.0682,-13.952,0.0324,0.8390000000000001,113.007,1
Emma,Hot Chocolate,0bsuSsRatN6sXKTnOMIwBb,232040,0.608,2,1,4,0.317,0.633,0.00139,0.0788,-6.69,0.0905,0.767,100.625,1
Satin Soul,Love Unlimited Orchestra,2uh4xWYmi6FRaoZqmj8SaF,254960,0.579,8,1,4,0.0278,0.659,0.828,0.124,-9.501,0.0331,0.815,107.033,1
