Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2022-10-13,2022-10-14,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-10-13,2022-10-14,7100,CHEVRON 0204974,Gas/Automotive,49.90,
2022-10-12,2022-10-14,7100,PCHRG INC,Dining,250.00,
2022-10-11,2022-10-12,7100,MAJIKKU RAMEN,Dining,50.00,
2022-10-11,2022-10-12,7100,ATT* BILL PAYMENT,Phone/Cable,105.29,
2022-10-11,2022-10-12,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-10-11,2022-10-12,7100,REDWOOD SKYLINE,Dining,4.85,
2022-10-10,2022-10-12,7100,IN N OUT BURGER 257,Dining,20.13,
2022-10-10,2022-10-11,7100,TARGET        00011221,Merchandise,25.29,
2022-10-10,2022-10-11,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-10-10,2022-10-11,7100,REDWOOD SKYLINE,Dining,9.98,
2022-10-10,2022-10-11,7100,AMZN Mktp US*1K5U956N1,Merchandise,316.45,
2022-10-10,2022-10-11,7100,DD DOORDASH TOMMYTHAI,Dining,126.38,
2022-10-10,2022-10-10,7100,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,1090.47
2022-10-10,2022-10-10,7100,AMZN Mktp US*1K3L428F1,Merchandise,39.99,
2022-10-10,2022-10-10,7100,CAPITAL ONE ONLINE PYMT,Payment/Credit,,1199.52
2022-10-07,2022-10-10,7100,SAFEWAY #1138,Merchandise,59.20,
2022-10-07,2022-10-08,7100,SMCCD CSM BOOKSTORE,Merchandise,12.94,
2022-10-07,2022-10-08,7100,SMCCD CSM BOOKSTORE,Merchandise,3.00,
2022-10-07,2022-10-08,7100,REDWOOD SKYLINE,Dining,8.76,
2022-10-07,2022-10-08,7100,DD DOORDASH TACOBELL,Dining,33.62,
2022-10-07,2022-10-08,7100,DD DOORDASH PIZZAMYHE,Dining,32.45,
2022-10-06,2022-10-07,7100,JTI*TWITCHTV SUB SRVCS,Other Services,4.99,
2022-10-06,2022-10-07,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-10-06,2022-10-07,7100,CHEVRON 0204974,Gas/Automotive,58.31,
2022-10-06,2022-10-06,7100,SQ *GILMAN BREWING COM,Dining,111.00,
2022-10-05,2022-10-06,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-10-05,2022-10-06,7100,REDWOOD SKYLINE,Dining,10.70,
2022-10-04,2022-10-05,7100,SMCCD CSM BOOKSTORE,Merchandise,5.69,
2022-10-04,2022-10-05,7100,SMCCD CSM BOOKSTORE,Merchandise,22.15,
2022-10-04,2022-10-05,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-10-02,2022-10-04,7100,TACO BELL 30796,Dining,8.93,
2022-10-03,2022-10-03,7100,CAPITAL ONE ONLINE PYMT,Payment/Credit,,2202.74
2022-10-02,2022-10-03,7100,NIJIYA MARKET #63,Merchandise,65.45,
2022-10-01,2022-10-03,7100,MCDONALDS  F6641,Dining,23.38,
2022-10-02,2022-10-03,7100,Spotify USA,Phone/Cable,9.99,
2022-09-30,2022-10-01,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-09-30,2022-10-01,7100,REDWOOD SKYLINE,Dining,10.70,
2022-09-29,2022-09-30,7100,JERSEY JOES CHEESESTEA,Dining,29.46,
2022-09-29,2022-09-30,7100,DOORDASH DASHPASS,Dining,9.99,
2022-09-29,2022-09-30,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-09-29,2022-09-30,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-09-29,2022-09-30,7100,REDWOOD SKYLINE,Dining,8.76,
2022-09-28,2022-09-29,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-09-28,2022-09-29,7100,SMCCD CSM BOOKSTORE,Merchandise,5.99,
2022-09-28,2022-09-29,7100,REDWOOD SKYLINE,Dining,7.46,
2022-09-28,2022-09-29,7100,REDWOOD SKYLINE,Dining,13.46,
2022-09-29,2022-09-29,7100,SQ *GILMAN BREWING COM,Dining,125.00,
2022-09-27,2022-09-28,7100,HIMAWARI TEI,Dining,42.73,
2022-09-28,2022-09-28,7100,APPLE.COM/BILL,Internet,0.99,
2022-09-27,2022-09-28,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-09-27,2022-09-28,7100,REDWOOD SKYLINE,Dining,8.72,
2022-09-26,2022-09-28,7100,WENDYS #3959,Dining,11.20,
2022-09-26,2022-09-27,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-09-25,2022-09-27,7100,TACO BELL 30796,Dining,10.47,
2022-09-25,2022-09-26,7100,CVS/PHARMACY #09216,Health Care,53.01,
2022-09-25,2022-09-26,7100,IZUMI SUSHI,Dining,125.00,
2022-09-25,2022-09-26,7100,CHEVRON 0097927,Gas/Automotive,28.01,
2022-09-24,2022-09-26,7100,MCDONALDS  F6641,Dining,24.04,
2022-09-25,2022-09-26,7100,APPLE.COM/BILL,Internet,14.99,
2022-09-23,2022-09-26,7100,BETTERHELP  *JACOBS JE,Professional Services,320.00,
2022-09-23,2022-09-24,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-09-23,2022-09-24,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-09-23,2022-09-24,7100,REDWOOD SKYLINE,Dining,7.76,
2022-09-22,2022-09-24,7100,TACO BELL 30796,Dining,7.63,
2022-09-22,2022-09-23,7100,SMCCD CSM BOOKSTORE,Merchandise,2.50,
2022-09-21,2022-09-22,7100,CHEVRON 0204974,Gas/Automotive,46.38,
2022-09-21,2022-09-22,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-09-21,2022-09-22,7100,SMCCD CSM BOOKSTORE,Merchandise,7.00,
2022-09-22,2022-09-22,7100,SQ *GILMAN BREWING COM,Dining,130.00,
2022-09-20,2022-09-22,7100,IN N OUT BURGER 257,Dining,9.84,
2022-09-20,2022-09-21,7100,SMCCD CSM BOOKSTORE,Merchandise,2.50,
2022-09-19,2022-09-20,7100,AMZN MKTP US*1M68S9GJ2,Merchandise,14.15,
2022-09-19,2022-09-20,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-09-18,2022-09-20,7100,SAFEWAY #1138,Merchandise,72.71,
2022-09-17,2022-09-19,7100,MCDONALDS  F6641,Dining,13.11,
2022-09-16,2022-09-17,7100,SQ *A GRAPE IN THE FOG,Dining,135.00,
2022-09-16,2022-09-17,7100,REDWOOD SKYLINE,Dining,8.76,
2022-09-15,2022-09-17,7100,TACO BELL 30796,Dining,8.00,
2022-09-15,2022-09-16,7100,SMCCD CSM BOOKSTORE,Merchandise,9.25,
2022-09-15,2022-09-16,7100,REDWOOD SKYLINE,Dining,7.73,
2022-09-16,2022-09-16,7100,AAA INSURANCE,Insurance,249.75,
2022-09-15,2022-09-15,7100,SQ *GILMAN BREWING COM,Dining,60.00,
2022-09-14,2022-09-15,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-09-13,2022-09-14,7100,MAJIKKU RAMEN,Dining,50.00,
2022-09-13,2022-09-14,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-09-12,2022-09-13,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
2022-09-12,2022-09-13,7100,SMCCD CSM BOOKSTORE,Merchandise,3.50,
